AE,Andorra,77006
AF,United Arab Emirates,9630959
AG,Afghanistan,37172386
AI,Antigua and Barbuda,96286
AL,Anguilla,13254
AM,Albania,2866376
AN,Armenia,2951776
AO,Netherlands Antilles,300000
AQ,Angola,30809762
AR,Antarctica,0
AS,Argentina,44494502
AT,American Samoa,55465
AU,Austria,8847037
AW,Australia,24992369
AX,Aruba,105845
AZ,Åland,26711
BA,Azerbaijan,9942334
BB,Bosnia and Herzegovina,3323929
BD,Barbados,286641
BE,Bangladesh,161356039
BF,Belgium,11422068
BG,Burkina Faso,19751535
BH,Bulgaria,7000039
BI,Bahrain,1569439
BJ,Burundi,11175378
BL,Benin,11485048
BM,Saint Barthélemy,8450
BN,Bermuda,63968
BO,Brunei,428962
BQ,Bolivia,11353142
BR,"Bonaire, Sint Eustatius, and Saba",18012
BS,Brazil,209469333
BT,Bahamas,385640
BV,Bhutan,754394
BW,Bouvet Island,0
BY,Botswana,2254126
BZ,Belarus,9485386
CA,Belize,383071
CC,Canada,37058856
CD,Cocos Keeling Islands,628
CF,DR Congo,84068091
CG,Central African Republic,4666377
CH,Congo Republic,5244363
CI,Switzerland,8516543
CK,Ivory Coast,25069229
CL,Cook Islands,21388
CM,Chile,18729160
CN,Cameroon,25216237
CO,China,1392730000
CR,Colombia,49648685
CS,Costa Rica,4999441
CU,Serbia and Montenegro,10829175
CV,Cuba,11338138
CW,Cabo Verde,543767
CX,Curaçao,159849
CY,Christmas Island,1500
CZ,Cyprus,1189265
DE,Czechia,10625695
DJ,Germany,82927922
DK,Djibouti,958920
DM,Denmark,5797446
DO,Dominica,71625
DZ,Dominican Republic,10627165
EC,Algeria,42228429
EE,Ecuador,17084357
EG,Estonia,1320884
EH,Egypt,98423595
ER,Western Sahara,273008
ES,Eritrea,0
ET,Spain,46723749
FI,Ethiopia,109224559
FJ,Finland,5518050
FK,Fiji,883483
FM,Falkland Islands,2638
FO,Micronesia,112640
FR,Faroe Islands,48497
GA,France,66987244
GB,Gabon,2119275
GD,United Kingdom,66488991
GE,Grenada,111454
GF,Georgia,3731000
GG,French Guiana,195506
GH,Guernsey,65228
GI,Ghana,29767108
GL,Gibraltar,33718
GM,Greenland,56025
GN,Gambia,2280102
GP,Guinea,12414318
GQ,Guadeloupe,443000
GR,Equatorial Guinea,1308974
GS,Greece,10727668
GT,South Georgia and South Sandwich Islands,30
GU,Guatemala,17247807
GW,Guam,165768
GY,Guinea-Bissau,1874309
HK,Guyana,779004
HM,Hong Kong,7451000
HN,Heard Island and McDonald Islands,0
HR,Honduras,9587522
HT,Croatia,4089400
HU,Haiti,11123176
ID,Hungary,9768785
IE,Indonesia,267663435
IL,Ireland,4853506
IM,Israel,8883800
IN,Isle of Man,84077
IO,India,1352617328
IQ,British Indian Ocean Territory,4000
IR,Iraq,38433600
IS,Iran,81800269
IT,Iceland,353574
JE,Italy,60431283
JM,Jersey,90812
JO,Jamaica,2934855
